"","season","route_id","stop_name","parent_station","avg_boardings","avg_alightings"
"84","Fall 2023","Orange","Back Bay","place-bbsta",531.100196463654,561.088408644401
"85","Fall 2023","Orange","Chinatown","place-chncl",268.198428290766,233.606090373281
"86","Fall 2023","Orange","Community College","place-ccmnl",186.177799607073,204.702357563851
"87","Fall 2023","Orange","Downtown Crossing","place-dwnxg",843.78094302554,926.967583497053
"88","Fall 2023","Orange","Forest Hills","place-forhl",502.953831041257,416.689587426326
"89","Fall 2023","Orange","Green Street","place-grnst",136.411591355599,155.757367387033
"90","Fall 2023","Orange","Haymarket","place-haecl",211.40373280943,215.666011787819
"91","Fall 2023","Orange","Jackson Square","place-jaksn",272.512770137525,221.879174852652
"92","Fall 2023","Orange","Malden Center","place-mlmnl",402.582514734774,404.938113948919
"93","Fall 2023","Orange","Massachusetts Avenue","place-masta",277.084479371316,256.399803536346
"94","Fall 2023","Orange","North Station","place-north",577.781925343811,543.383104125737
"95","Fall 2023","Orange","Oak Grove","place-ogmnl",246.734774066798,279.002946954813
"96","Fall 2023","Orange","Roxbury Crossing","place-rcmnl",235.875245579568,212.088408644401
"97","Fall 2023","Orange","Ruggles","place-rugg",197.104125736739,222.669941060904
"98","Fall 2023","Orange","State","place-state",619.85952848723,667.712180746562
"99","Fall 2023","Orange","Stony Brook","place-sbmnl",157.713163064833,180.423379174853
"100","Fall 2023","Orange","Sullivan Square","place-sull",326.352652259332,284.456777996071
"101","Fall 2023","Orange","Tufts Medical Center","place-tumnl",287.577603143418,322.751473477407
"102","Fall 2023","Orange","Wellington","place-welln",244.222986247544,224.966601178782
"103","Fall 2023","Red","Alewife","place-alfcl",313.226666666667,354.684444444444
"104","Fall 2023","Red","Andrew","place-andrw",266.646666666667,219.371111111111
"105","Fall 2023","Red","Ashmont","place-asmnl",304.924107142857,224.229910714286
"106","Fall 2023","Red","Braintree","place-brntn",112.094444444444,103.363333333333
"107","Fall 2023","Red","Broadway","place-brdwy",223.924444444444,213.898888888889
"108","Fall 2023","Red","Central","place-cntsq",492.43,528.61
"109","Fall 2023","Red","Charles/MGH","place-chmnl",347.457777777778,397.156666666667
"110","Fall 2023","Red","Davis","place-davis",294.177777777778,343.11
"111","Fall 2023","Red","Downtown Crossing","place-dwnxg",981.643333333333,957.625555555556
"112","Fall 2023","Red","Fields Corner","place-fldcr",173.322544642857,181.766741071429
"113","Fall 2023","Red","Harvard","place-harsq",731.637777777778,748.871111111111
"114","Fall 2023","Red","JFK/UMass","place-jfk",371.871111111111,384.273333333333
"115","Fall 2023","Red","Kendall/MIT","place-knncl",554.578888888889,622.377777777778
"116","Fall 2023","Red","North Quincy","place-nqncy",157.851111111111,173.301111111111
"117","Fall 2023","Red","Park Street","place-pktrm",1228.47222222222,1043.90111111111
"118","Fall 2023","Red","Porter","place-portr",272.302222222222,300.825555555556
"119","Fall 2023","Red","Quincy Adams","place-qamnl",88.7444444444444,93.7766666666667
"120","Fall 2023","Red","Quincy Center","place-qnctr",215.3,192.38
"121","Fall 2023","Red","Savin Hill","place-shmnl",79.1540178571429,83.6305803571429
"122","Fall 2023","Red","Shawmut","place-smmnl",81.1529017857143,86.5256696428571
"123","Fall 2023","Red","South Station","place-sstat",850.845555555556,887.57
"124","Fall 2023","Red","Wollaston","place-wlsta",148.717777777778,146.72
