"","season","route_id","stop_name","parent_station","avg_boardings","avg_alightings"
"66","Fall 2019","Green","Saint Paul Street","place-stplb",22.3471248246844,21.765778401122
"67","Fall 2019","Green","Saint Paul Street","place-stpul",16.7545582047686,12.3793828892006
"68","Fall 2019","Green","Science Park","place-spmnl",314.098176718093,374.700561009818
"69","Fall 2019","Green","South Street","place-sougr",6.51683029453015,17.9312762973352
"70","Fall 2019","Green","Summit Ave.","place-sumav",21.4642356241234,20.0308555399719
"71","Fall 2019","Green","Sutherland Road","place-sthld",20.3765778401122,13.7300140252454
"72","Fall 2019","Green","Symphony","place-symcl",123.452314165498,119.083450210379
"73","Fall 2019","Green","Tappan Street","place-tapst",15.7720897615708,14.7482468443198
"74","Fall 2019","Green","Waban","place-waban",9.82748948106592,6.35904628330996
"75","Fall 2019","Green","Warren Street","place-wrnst",29.8892005610098,34.9712482468443
"76","Fall 2019","Green","Washington Square","place-bcnwa",21.5715287517532,17.9151472650771
"77","Fall 2019","Green","Washington Street","place-wascm",35,32.7482468443198
"78","Fall 2019","Green","Woodland","place-woodl",15.0988779803647,14.2454417952314
"79","Fall 2019","Orange","Assembly","place-astao",265.652173913043,296.291725105189
"80","Fall 2019","Orange","Back Bay","place-bbsta",970.549789621318,982.899018232819
"81","Fall 2019","Orange","Chinatown","place-chncl",350.220196353436,342.289621318373
"82","Fall 2019","Orange","Community College","place-ccmnl",288.685133239832,398.664095371669
"83","Fall 2019","Orange","Downtown Crossing","place-dwnxg",1776.84011220196,1843.35343618513
"84","Fall 2019","Orange","Forest Hills","place-forhl",739.368162692847,689.318373071529
"85","Fall 2019","Orange","Green Street","place-grnst",195.040673211781,203.898316970547
"86","Fall 2019","Orange","Haymarket","place-haecl",501.838709677419,503.341514726508
"87","Fall 2019","Orange","Jackson Square","place-jaksn",318.931977559607,306.156381486676
"88","Fall 2019","Orange","Malden Center","place-mlmnl",717.26507713885,685.676718092567
"89","Fall 2019","Orange","Massachusetts Ave.","place-masta",350.250350631136,411.072230014025
"90","Fall 2019","Orange","North Station","place-north",791.477559607293,684.687237026648
"91","Fall 2019","Orange","Oak Grove","place-ogmnl",390.224403927069,306.230014025245
"92","Fall 2019","Orange","Roxbury Crossing","place-rcmnl",277.944600280505,284.056802244039
"93","Fall 2019","Orange","Ruggles","place-rugg",623.12412342216,639.943197755961
"94","Fall 2019","Orange","State Street","place-state",1066.37727910238,1025.32398316971
"95","Fall 2019","Orange","Stony Brook","place-sbmnl",204.235624123422,219.446002805049
"96","Fall 2019","Orange","Sullivan Square","place-sull",519.95301542777,507.144460028051
"97","Fall 2019","Orange","Tufts Medical Center","place-tumnl",372.460028050491,387.094670406732
"98","Fall 2019","Orange","Wellington","place-welln",472.716690042076,476.273492286115
"99","Fall 2019","Red","Alewife","place-alfcl",700.20126227209,717.117110799439
"100","Fall 2019","Red","Andrew","place-andrw",360.98667601683,378.133941093969
"101","Fall 2019","Red","Ashmont","place-asmnl",525.077840112202,448.321879382889
"102","Fall 2019","Red","Braintree","place-brntn",266.121318373072,236.204067321178
"103","Fall 2019","Red","Broadway","place-brdwy",368.401122019635,374.08064516129
"104","Fall 2019","Red","Central","place-cntsq",914.817671809257,1001.15778401122
"105","Fall 2019","Red","Charles/MGH","place-chmnl",623.678821879383,638.147265077139
"106","Fall 2019","Red","Davis","place-davis",723.095371669004,758.523141654979
"107","Fall 2019","Red","Downtown Crossing","place-dwnxg",1851.62412342216,1982.14375876578
"108","Fall 2019","Red","Fields Corner","place-fldcr",319.314165497896,335.266479663394
"109","Fall 2019","Red","Harvard","place-harsq",1094.08204768583,974.608695652174
"110","Fall 2019","Red","JFK/Umass","place-jfk",623.467741935484,636.62762973352
"111","Fall 2019","Red","Kendall/MIT","place-knncl",1015.84361851332,1072.24263674614
"112","Fall 2019","Red","North Quincy","place-nqncy",362.595371669004,382.795932678822
"113","Fall 2019","Red","Park Street","place-pktrm",1977.97545582048,1877.7412342216
"114","Fall 2019","Red","Porter","place-portr",529.541374474053,563.321879382889
"115","Fall 2019","Red","Quincy Adams","place-qamnl",248.620617110799,256.99649368864
"116","Fall 2019","Red","Quincy Center","place-qnctr",450.989481065919,473.140252454418
"117","Fall 2019","Red","Savin Hill","place-shmnl",137.34221598878,144.370967741935
"118","Fall 2019","Red","Shawmut","place-smmnl",141.890603085554,174.242636746143
"119","Fall 2019","Red","South Station","place-sstat",1662.94880785414,1453.03225806452
"120","Fall 2019","Red","Wollaston","place-wlsta",204.852734922861,225.26507713885
